# Velocity (m/s);Min zangle (rad);x1;x2;x3;x4;x5;x6;x7
4.600000000000000000e+04;0.000000000000000000e+00;-3.591732624042679163e+02;-3.038313818550793410e+00;-2.024088881861853938e-06;1.116060666625687325e+01;-8.344594102313457329e-01;6.800369917384102791e+02;-1.458167277839086777e-02
4.700000000000000000e+04;0.000000000000000000e+00;-3.570468685651846386e+02;-3.540520328110940529e+00;-1.859796309980454423e-06;1.119979472801315623e+01;-8.351031140364010286e-01;6.800516241950751919e+02;-1.327916884593110039e-02
4.800000000000000000e+04;0.000000000000000000e+00;-3.556148748515919351e+02;-3.164015701851385920e+00;-1.471252165932014506e-06;1.123751430470935198e+01;-8.342801086450947201e-01;6.801024152687966762e+02;-1.421319761656830889e-02
4.900000000000000000e+04;0.000000000000000000e+00;-3.478438812277024113e+02;-4.045705729367237602e+00;-7.749015672052445041e-07;1.174071939025219535e+01;-8.532323769652421230e-01;6.793977145415587984e+02;-1.226852456367889636e-02
5.000000000000000000e+04;0.000000000000000000e+00;-3.520035308468894186e+02;-3.918856791622221003e+00;-1.246055845255347443e-06;1.129078665813501559e+01;-8.341709680857881670e-01;6.799252107063419999e+02;-1.225550085690442666e-02
5.100000000000000000e+04;0.000000000000000000e+00;-3.503483739046803862e+02;-4.040688419421997857e+00;-1.002729794126292004e-06;1.132291884783795233e+01;-8.337414466675971969e-01;6.799036551079572064e+02;-1.232334395812010458e-02
5.200000000000000000e+04;0.000000000000000000e+00;-3.481574194752911353e+02;-5.142131766528575731e+00;-1.030140831929331815e-06;1.134348188843588900e+01;-8.341708940353758095e-01;6.797532829494418820e+02;-9.965415154373694420e-03
5.300000000000000000e+04;0.000000000000000000e+00;-3.416906664328761281e+02;-5.705190647923536140e+00;-9.072950983203239160e-07;1.130530398197877240e+01;-8.363735433494852156e-01;6.708326320752195215e+02;-9.499727003259548358e-03
5.400000000000000000e+04;0.000000000000000000e+00;-3.923393628363822927e+02;-6.967229047440444134e+00;-3.520695086831431536e-07;1.191423011523608899e+01;-6.574338879000491964e-01;6.629865492001088114e+02;-6.303354639213848247e-03
5.500000000000000000e+04;0.000000000000000000e+00;-3.372795700339368068e+02;-7.939027108473082350e+00;-7.227032399594371605e-07;1.129927843398856524e+01;-8.355320904174354801e-01;6.705521128315441501e+02;-6.669945693648879695e-03
5.600000000000000000e+04;0.000000000000000000e+00;-3.156590492526138405e+02;-1.129753328907094989e+01;-1.680031572312125743e+00;-4.508542342797343139e+01;1.982211816138608196e-01;2.236975605828295670e+02;-2.808603094687452985e-03
5.700000000000000000e+04;0.000000000000000000e+00;-3.464560837637835675e+02;-8.477157995297774917e+00;2.095809456065940572e-07;1.127358870395288371e+01;-7.876715339687793138e-01;6.699110926677325324e+02;-1.002346907283466551e-02
5.800000000000000000e+04;0.000000000000000000e+00;-3.439156485902194618e+02;-8.262652562439214421e+00;9.026068378177985263e-07;1.129097863412993696e+01;-7.869301012214541258e-01;6.697328424459306007e+02;-1.422278221591113251e-02
5.900000000000000000e+04;0.000000000000000000e+00;-3.423324412000696384e+02;-6.107646477616401448e+00;1.815974256429261324e-06;1.129297755899496458e+01;-7.836385002974622926e-01;6.695230588430315493e+02;-2.355441795603242794e-02
6.000000000000000000e+04;0.000000000000000000e+00;-9.669638151508306123e+01;1.988201142508395947e+01;1.361278974880472958e+01;-1.034093469537009646e+01;-1.303538742593001842e+00;2.154464032475337092e+02;-7.000432297981479257e-01
6.100000000000000000e+04;0.000000000000000000e+00;-3.398962078371010875e+02;2.242192183140097050e+00;2.685800734410724679e-06;1.127524904000127393e+01;-7.744127165910675847e-01;6.689406153523699459e+02;-5.131709188150192918e-02
6.200000000000000000e+04;0.000000000000000000e+00;-2.073594094531894825e+03;6.189497683049244188e+02;2.636574248412755878e+03;-8.879491737556960418e-01;-1.310010624310050886e+00;4.944472965380085043e+03;-1.738202966401010963e-01
6.300000000000000000e+04;0.000000000000000000e+00;-2.443897906533687703e+01;-3.273633584944682262e+00;-1.048102490681670496e+00;3.930144596659063794e+00;-2.030500752114047014e+00;1.277558570916428697e-04;7.293365275553334470e+00
6.400000000000000000e+04;0.000000000000000000e+00;-1.255262021084819025e+03;-3.375883530361792340e-01;-4.352968070317425088e-03;7.619715469632024174e+00;-2.091187803596370465e+00;9.982566023514315020e+03;-4.711233549014135803e-03
6.500000000000000000e+04;0.000000000000000000e+00;-3.240765717138065156e+02;3.031298329862796681e+00;-6.268844150104993416e-06;1.121401186748094680e+01;-7.928953568953932551e-01;6.683149585106418726e+02;-2.245983632714514122e-02
6.600000000000000000e+04;0.000000000000000000e+00;4.835518617947431608e+01;-2.941538016698125535e+00;-7.164024365181201337e-02;6.961343937075888277e+00;-4.498398199453560231e+00;-6.151710077453205486e+03;-8.378668777219202765e-03
6.700000000000000000e+04;0.000000000000000000e+00;-3.182651734085399085e+02;-2.917829184676838938e+00;-2.991296307718676859e-06;1.132483693663121294e+01;-8.025363144741547439e-01;6.675584891327177957e+02;-9.497448274639838130e-04
6.800000000000000000e+04;0.000000000000000000e+00;-3.167167607951746504e+02;-4.090642628534547853e+00;-1.622873088802453978e-06;1.131175775407536044e+01;-8.028550859397755035e-01;6.675416161298182942e+02;2.983826426443490082e-04
6.900000000000000000e+04;0.000000000000000000e+00;-3.154087091266105176e+02;-5.398864298946953078e+00;-6.174278901296498933e-07;1.129860276024161436e+01;-8.009478357469554943e-01;6.675336227962595785e+02;5.727399778742581909e-04
7.000000000000000000e+04;0.000000000000000000e+00;-3.134909765755355693e+02;-6.974089915753117097e+00;2.448608940021502434e-07;1.130202391665333472e+01;-7.987849488530172071e-01;6.675173438234361356e+02;-2.108593497595787568e-04
7.100000000000000000e+04;0.000000000000000000e+00;-3.115999359645778668e+02;-6.772081348374003440e+00;1.310864740339844669e-06;1.130902647400403005e+01;-7.956495995996749615e-01;6.674749240503335841e+02;-6.770233428682287218e-03
