# 
# This CSV file is accompanying the paper Vida et al. (2018) "Modeling the measurement accuracy of 
# pre-atmosphere velocities of meteoroids".
# 
# The file contains fits of delta_v (in m/s) to the zenith angle (in radians) for every simulated observing 
# system:
#     0 - ASGARD-like allsky fireball system
#     1 - CAMS-like moderate FOV system
#     2 - CAMO-like image intensified narrow-field system
# 
# and for every simulated meteoroid type:
#     0 - cometary
#     1 - asteroidal
#     2 - iron
# 
# delta_v is the difference between the measured initial velocity and the true pre-atmosphere velocity. Thus if 
# one want to obtain the deceleration-corrected value of the initial velocity, the following expression can be 
# used:
# 
#     v_inf = v_init + delta_v
# 
# where delta_v and can be computed from the table below using the following expression:
# 
#     delta_v = x0 + x1*z + x2*z^2 + x3*z^3 + x4*z^4 + x5*z^5 + x6*z^6
# 
# Where z is the zenith angle in radians and coefficients x are listed below in the table. The table lists 
# discrete values of velocities and peak magnitudes for which the fits are valid. If one wants to compute 
# delta_v for a given meteor of known initial velocity, peak magnitude and zenith angle, a lookup for a 
# particular system, meteoroid type (can be guessed from the beginning height), velocity and peak magnitude has 
# to be performed. If one needs an estimate for delta_v for non-discrete values of velocity, linear 
# interpolation between two values of delta_v for neighbouring discrete values of velocities will provide a 
# sufficiently precise approximation.
# 
# System type;Meteoroid type;Velocity (m/s);Peak magnitude;x0;x1;x2;x3;x4;x5;x6
0;0;70000;-3.22;-1.588146e+01;-2.090035e+00;1.198200e+01;-5.692360e+01;7.756160e+01;-3.921713e+01;-1.863020e+00
0;0;70000;-2.89;-2.225104e+01;-5.805052e-01;-2.600128e+01;1.445785e+02;-3.857332e+02;4.149600e+02;-1.622317e+02
0;0;70000;-2.57;-2.772727e+01;-1.760573e+00;-4.007070e+01;3.229678e+02;-9.810745e+02;1.082698e+03;-4.102819e+02
0;0;70000;-2.25;-2.772727e+01;-1.760573e+00;-4.007070e+01;3.229678e+02;-9.810745e+02;1.082698e+03;-4.102819e+02
0;0;70000;-1.93;-5.006650e+01;4.564359e+01;-5.000533e+02;1.814216e+03;-2.994876e+03;2.133673e+03;-5.514872e+02
0;0;70000;-1.60;-5.006650e+01;4.564359e+01;-5.000533e+02;1.814216e+03;-2.994876e+03;2.133673e+03;-5.514872e+02
0;0;69000;-7.73;-3.451634e+00;1.024509e+00;-8.932240e+00;2.434314e+01;-3.064002e+01;1.823435e+01;-4.380320e+00
0;0;69000;-7.40;-3.823375e+00;-5.312972e-02;-6.095179e+00;2.839592e+01;-5.105724e+01;3.971940e+01;-1.147227e+01
0;0;69000;-7.08;-4.223065e+00;1.462584e+00;-9.380012e+00;2.651267e+01;-4.002759e+01;2.954364e+01;-8.612547e+00
0;0;69000;-6.76;-4.376312e+00;-1.521850e+00;6.981287e+00;-1.503750e+01;1.522561e+01;-7.514154e+00;1.010310e+00
0;0;69000;-6.44;-4.966294e+00;-4.720961e-01;8.173814e-01;1.514455e+00;-1.108104e+01;1.406050e+01;-5.829051e+00
0;0;69000;-6.11;-5.394655e+00;3.469372e-01;-3.670284e+00;1.269571e+01;-2.690234e+01;2.524619e+01;-8.969208e+00
0;0;69000;-5.79;-5.900111e+00;7.554374e-01;-1.100081e+01;4.203394e+01;-7.493488e+01;5.999492e+01;-1.838979e+01
0;0;69000;-5.47;-6.475198e+00;1.249436e+00;-1.407916e+01;5.242755e+01;-9.668371e+01;8.103996e+01;-2.580084e+01
0;0;69000;-5.15;-7.543079e+00;4.943150e-01;-7.130477e+00;3.677842e+01;-8.843176e+01;8.676607e+01;-3.074076e+01
0;0;69000;-4.82;-8.397510e+00;3.218582e+00;-3.505373e+01;1.276426e+02;-2.203271e+02;1.723270e+02;-5.130864e+01
0;0;69000;-4.50;-9.689127e+00;2.705178e+00;-3.080914e+01;1.094923e+02;-1.931220e+02;1.563467e+02;-4.880795e+01
0;0;69000;-4.18;-1.109085e+01;3.053242e+00;-3.222938e+01;1.127567e+02;-2.037976e+02;1.693934e+02;-5.438472e+01
0;0;69000;-3.85;-1.269818e+01;3.129381e+00;-4.533050e+01;1.739315e+02;-3.167615e+02;2.597154e+02;-8.134152e+01
0;0;69000;-3.53;-1.530308e+01;9.534777e+00;-1.089540e+02;4.175590e+02;-7.610506e+02;6.354822e+02;-2.009793e+02
0;0;69000;-3.21;-1.820404e+01;3.023125e+01;-2.892870e+02;1.021490e+03;-1.696516e+03;1.304326e+03;-3.802485e+02
0;0;69000;-2.89;-2.271166e+01;3.419733e+01;-3.638317e+02;1.409107e+03;-2.522453e+03;2.032943e+03;-6.095935e+02
0;0;69000;-2.56;-2.271166e+01;3.419733e+01;-3.638317e+02;1.409107e+03;-2.522453e+03;2.032943e+03;-6.095935e+02
0;0;69000;-2.24;-3.123203e+01;3.219003e+00;-6.710124e+01;2.790766e+02;-6.319115e+02;6.396640e+02;-2.474025e+02
0;0;69000;-1.92;-4.919177e+01;7.574439e+00;-5.173242e+02;2.552756e+03;-5.635495e+03;5.706230e+03;-2.181816e+03
0;0;69000;-1.59;-4.919177e+01;7.574439e+00;-5.173242e+02;2.552756e+03;-5.635495e+03;5.706230e+03;-2.181816e+03
0;0;68000;-7.72;-3.723057e+00;6.092970e-01;-6.261183e+00;1.974525e+01;-2.962779e+01;2.074686e+01;-5.644497e+00
0;0;68000;-7.40;-3.893099e+00;-1.112532e+00;2.699936e+00;1.507634e-01;-9.159645e+00;1.089082e+01;-4.020321e+00
0;0;68000;-7.07;-4.291987e+00;3.004834e-01;1.548950e+00;-1.116188e+01;2.080943e+01;-1.650616e+01;4.392329e+00
