# Velocity (m/s);Min zangle (rad);x1;x2;x3;x4;x5;x6;x7
3.500000000000000000e+04;0.000000000000000000e+00;-5.345024875586248072e+02;-4.447519447249045577e+00;-1.740145297375336395e-02;7.024299123710295412e+00;-2.208686482677871599e+00;4.840465692643893817e+03;4.052650264207079481e-03
3.600000000000000000e+04;0.000000000000000000e+00;-3.058676696780525504e+02;3.574562380127680239e+00;-1.277448745153949535e-05;1.123271139511953898e+01;-7.938353173446549560e-01;6.670395196585532176e+02;-2.369403039494297550e-02
3.700000000000000000e+04;0.000000000000000000e+00;-3.061578978762071870e+02;8.213433381805405276e+00;-1.106976037033721685e-05;1.122031363089670464e+01;-7.925673817984824066e-01;6.670157757473313040e+02;-3.625926520455918095e-02
3.800000000000000000e+04;0.000000000000000000e+00;-1.114309547713124175e+03;-5.339797737805643152e+00;-1.469327764819343507e+01;2.744610047308554623e+00;-2.380085978056318829e+00;1.201592049117500028e+04;1.833781381413509062e-02
3.900000000000000000e+04;0.000000000000000000e+00;-3.063660334918283752e+02;8.532134152191986232e+00;-1.116049846744427700e-05;1.118627503529383027e+01;-7.935394171371085159e-01;6.669990216695555318e+02;-3.505785404495497665e-02
4.000000000000000000e+04;0.000000000000000000e+00;-7.729820537164679308e+02;-4.590788367059652728e+02;6.595758527014671017e+03;4.243638761812104643e-01;-1.820754245848175357e+00;-1.846241663539620504e+03;3.110193963664832917e-01
4.100000000000000000e+04;0.000000000000000000e+00;-4.098398534793421533e+00;-6.155578749437770725e+00;-7.936358425390157834e+01;7.134257187634147179e+00;-9.208843304851937361e+00;8.972354483159115262e+03;2.625094628204836855e+00
4.200000000000000000e+04;0.000000000000000000e+00;7.107037579433298724e+00;-1.084869659813997878e+01;-1.563458479191488379e+02;5.048623479314040097e+00;-9.027422002935537648e+00;-9.354355533583108627e+04;-2.541417664120615871e+00
4.300000000000000000e+04;0.000000000000000000e+00;-2.367977491989926975e+01;-6.890807594170865080e+00;-6.722213908113961800e+00;4.380092224211227681e+00;-4.102699001343750318e+00;1.147529077465030241e+03;4.899785601597499429e-01
4.400000000000000000e+04;0.000000000000000000e+00;-3.866882240311922736e+00;-6.052281584940738313e+00;-7.133205982560572700e+00;8.133747753084913157e+00;-8.041303052292130715e+00;1.391994224657339373e+03;3.081448720537287134e+00
4.500000000000000000e+04;0.000000000000000000e+00;-3.086896689928530577e+02;1.271385615704896743e+01;-7.826803057006781919e-06;1.120612784289770758e+01;-7.893514421869322062e-01;6.670344118786758827e+02;-4.973943613127117941e-02
4.600000000000000000e+04;0.000000000000000000e+00;-4.214916784998910657e+02;-3.271014554007268771e+02;9.629415273410015175e+01;4.882531833533506060e-01;1.930231067606064110e+00;-3.566994595437819981e+01;3.219613308168889354e-01
4.700000000000000000e+04;0.000000000000000000e+00;-5.253299955635085894e+00;-6.541541531146648047e+00;-2.593895491307561585e+01;6.838092845217900617e+00;-7.309146901401122776e+00;2.329666386623264316e+03;2.569940830558608447e+00
4.800000000000000000e+04;0.000000000000000000e+00;-1.711357503724267417e+02;-7.145013316333966635e+00;-1.289134145218270813e-05;1.209692402497621266e+01;-2.044887969193059263e+00;1.294973739751756511e+03;1.075486259976159154e-02
4.900000000000000000e+04;0.000000000000000000e+00;-3.064614818625571502e+02;-5.700899244258019749e+00;-7.941762565012763488e-06;1.127341570304879781e+01;-7.884749576849718888e-01;6.670993944545222121e+02;8.977833167077755444e-04
